Comment,Designator,Footprint,JLCPCB Part #（optional）
FTSH-105-01-L-DV-K-TR,J1,schneggi_library:CONN-SMD_FTSH-105-01-L-DV-K-TR,C448647
HX PZ2.54-2x5P WT,J2,easyeda_import:HDR-SMD_10P-P2.54-H-M-R2-C5-W18.0,C46061687
